country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-02-15,1,6,-19,3,3,1
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-02-16,-4,6,-21,1,-1,3
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-02-17,-9,-3,-27,6,10,0
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-02-18,-5,-2,-31,5,10,-1
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-02-19,-6,-3,-32,2,8,0
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-02-20,-2,4,-26,2,6,0
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-02-21,-8,10,-25,4,9,-1
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-02-22,-34,-7,-45,-21,-18,1
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-02-23,-42,-18,-15,-31,-17,3
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-02-24,-52,-36,5,-57,-70,12
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-02-25,-53,-41,-4,-56,-74,10
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-02-26,-29,-20,-37,-30,-40,8
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-02-27,-9,-6,-33,-5,3,1
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-02-28,-12,-2,-35,-6,8,2
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-02-29,-11,4,-44,-14,0,5
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-03-01,-19,6,-42,-15,-5,7
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-03-02,-13,2,-33,0,11,0
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-03-03,-5,4,-30,2,9,0
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-03-04,-7,1,-31,1,8,0
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-03-05,-2,5,-20,3,9,-1
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-03-06,2,10,-22,8,13,-1
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-03-07,-3,7,-41,-4,2,3
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-03-08,1,12,-17,-1,0,3
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-03-09,-11,0,-23,4,12,-1
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-03-10,-5,3,-26,3,10,-1
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-03-11,-5,-1,-24,2,9,0
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-03-12,-9,-7,-34,0,7,0
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-03-13,-12,-2,-40,3,11,0
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-03-14,-17,1,-54,-11,-1,4
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-03-15,-20,6,-38,-13,-4,5
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-03-16,-19,7,-31,-6,8,0
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-03-17,-24,10,-38,-15,-3,4
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-03-18,-30,6,-40,-23,-17,6
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-03-19,-69,-23,-61,-58,-66,22
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-03-20,-70,-7,-65,-44,-45,18
BR,Brazil,State of Ceará,Fortaleza,,,,ChIJP3hMRj9MxwcRyjdrDArGYUY,2020-03-21,-84,-32,-84,-60,-50,20
